"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"180","7.70515775680542","7.70515775680542","7.70515775680542"
"181","7.956360816955566","7.956360816955566","7.956360816955566"
"182","9.029698371887207","9.029698371887207","9.029698371887207"
"183","9.134541511535645","9.134541511535645","9.134541511535645"
"184","7.652918338775635","7.652918338775635","7.652918338775635"
"185","7.8695831298828125","7.8695831298828125","7.8695831298828125"
"186","7.398588180541992","7.398588180541992","7.398588180541992"
"187","8.050882339477539","8.050882339477539","8.050882339477539"
"188","8.14508056640625","8.14508056640625","8.14508056640625"
"189","7.401478290557861","7.401478290557861","7.401478290557861"
"190","8.067853927612305","8.067853927612305","8.067853927612305"
"191","7.041118621826172","7.041118621826172","7.041118621826172"
"192","8.312061309814453","8.312061309814453","8.312061309814453"
"193","7.41697359085083","7.41697359085083","7.41697359085083"
"194","8.351730346679688","8.351730346679688","8.351730346679688"
"195","7.499127388000488","7.499127388000488","7.499127388000488"
"196","7.696166038513184","7.696166038513184","7.696166038513184"
"197","8.37711238861084","8.37711238861084","8.37711238861084"
"198","7.972585201263428","7.972585201263428","7.972585201263428"
"199","8.500619888305664","8.500619888305664","8.500619888305664"
"200","8.926393508911133","8.926393508911133","8.926393508911133"
"201","8.290496826171875","8.290496826171875","8.290496826171875"
"202","8.381690979003906","8.381690979003906","8.381690979003906"
"203","8.004385948181152","8.004385948181152","8.004385948181152"
"204","8.08215618133545","8.08215618133545","8.08215618133545"
"205","8.13173770904541","8.13173770904541","8.13173770904541"
"206","7.9193291664123535","7.9193291664123535","7.9193291664123535"
"207","6.927152633666992","6.927152633666992","6.927152633666992"
"208","8.067238807678223","8.067238807678223","8.067238807678223"
"209","7.965655326843262","7.965655326843262","7.965655326843262"
"210","9.310920715332031","9.310920715332031","9.310920715332031"
"211","8.562250137329102","8.562250137329102","8.562250137329102"
"212","7.6972761154174805","7.6972761154174805","7.6972761154174805"
"213","7.5637688636779785","7.5637688636779785","7.5637688636779785"
"214","8.054819107055664","8.054819107055664","8.054819107055664"
"215","8.559137344360352","8.559137344360352","8.559137344360352"
"216","7.060968399047852","7.060968399047852","7.060968399047852"
"217","8.568074226379395","8.568074226379395","8.568074226379395"
"218","7.211304664611816","7.211304664611816","7.211304664611816"
"219","8.545000076293945","8.545000076293945","8.545000076293945"
"220","8.274577140808105","8.274577140808105","8.274577140808105"
"221","7.796682357788086","7.796682357788086","7.796682357788086"
"222","8.40263843536377","8.40263843536377","8.40263843536377"
"223","7.031528472900391","7.031528472900391","7.031528472900391"
"224","7.632873058319092","7.632873058319092","7.632873058319092"
"225","7.9222822189331055","7.9222822189331055","7.9222822189331055"
"226","8.538553237915039","8.538553237915039","8.538553237915039"
"227","7.817948818206787","7.817948818206787","7.817948818206787"
"228","6.448716163635254","6.448716163635254","6.448716163635254"
"229","7.493175506591797","7.493175506591797","7.493175506591797"
"230","8.316596031188965","8.316596031188965","8.316596031188965"
"231","7.892824649810791","7.892824649810791","7.892824649810791"
"232","8.545458793640137","8.545458793640137","8.545458793640137"
"233","8.252861976623535","8.252861976623535","8.252861976623535"
"234","7.381955623626709","7.381955623626709","7.381955623626709"
"235","8.068353652954102","8.068353652954102","8.068353652954102"
"236","8.176383018493652","8.176383018493652","8.176383018493652"
"237","8.107857704162598","8.107857704162598","8.107857704162598"
"238","7.28916072845459","7.28916072845459","7.28916072845459"
"239","8.759100914001465","8.759100914001465","8.759100914001465"
"240","8.178228378295898","8.178228378295898","8.178228378295898"
"241","8.482894897460938","8.482894897460938","8.482894897460938"
"242","8.073728561401367","8.073728561401367","8.073728561401367"
"243","7.539344787597656","7.539344787597656","7.539344787597656"
"244","8.10350227355957","8.10350227355957","8.10350227355957"
"245","7.237220287322998","7.237220287322998","7.237220287322998"
"246","7.747004508972168","7.747004508972168","7.747004508972168"
"247","7.834492206573486","7.834492206573486","7.834492206573486"
"248","7.8648362159729","7.8648362159729","7.8648362159729"
"249","7.897404193878174","7.897404193878174","7.897404193878174"
"250","7.497493267059326","7.497493267059326","7.497493267059326"
"251","6.652769088745117","6.652769088745117","6.652769088745117"
"252","8.803866386413574","8.803866386413574","8.803866386413574"
"253","8.165464401245117","8.165464401245117","8.165464401245117"
"254","7.336488723754883","7.336488723754883","7.336488723754883"
"255","6.681673526763916","6.681673526763916","6.681673526763916"
"256","6.8053789138793945","6.8053789138793945","6.8053789138793945"
"257","7.960428714752197","7.960428714752197","7.960428714752197"
"258","6.9658203125","6.9658203125","6.9658203125"
"259","8.079625129699707","8.079625129699707","8.079625129699707"
"260","8.313416481018066","8.313416481018066","8.313416481018066"
"261","8.010406494140625","8.010406494140625","8.010406494140625"
"262","7.988090991973877","7.988090991973877","7.988090991973877"
"263","7.854977130889893","7.854977130889893","7.854977130889893"
"264","6.989194869995117","6.989194869995117","6.989194869995117"
"265","8.11003589630127","8.11003589630127","8.11003589630127"
"266","7.6361517906188965","7.6361517906188965","7.6361517906188965"
"267","8.052596092224121","8.052596092224121","8.052596092224121"
"268","8.968605041503906","8.968605041503906","8.968605041503906"
"269","7.7821526527404785","7.7821526527404785","7.7821526527404785"
"270","8.867415428161621","8.867415428161621","8.867415428161621"
"271","8.056066513061523","8.056066513061523","8.056066513061523"
"272","7.712846279144287","7.712846279144287","7.712846279144287"
"273","7.184520721435547","7.184520721435547","7.184520721435547"
"274","8.315715789794922","8.315715789794922","8.315715789794922"
"275","8.312895774841309","8.312895774841309","8.312895774841309"
"276","7.37297248840332","7.37297248840332","7.37297248840332"
"277","8.677298545837402","8.677298545837402","8.677298545837402"
"278","7.422226428985596","7.422226428985596","7.422226428985596"
"279","6.723303318023682","6.723303318023682","6.723303318023682"
"280","8.006912231445312","8.006912231445312","8.006912231445312"
"281","7.693327903747559","7.693327903747559","7.693327903747559"
"282","8.040353775024414","8.040353775024414","8.040353775024414"
"283","7.171151161193848","7.171151161193848","7.171151161193848"
"284","7.8496527671813965","7.8496527671813965","7.8496527671813965"
"285","8.745828628540039","8.745828628540039","8.745828628540039"
"286","7.477269172668457","7.477269172668457","7.477269172668457"
"287","7.184429168701172","7.184429168701172","7.184429168701172"
"288","6.975576877593994","6.975576877593994","6.975576877593994"
"289","7.407059669494629","7.407059669494629","7.407059669494629"
"290","7.466735363006592","7.466735363006592","7.466735363006592"
"291","7.6809916496276855","7.6809916496276855","7.6809916496276855"
"292","8.041860580444336","8.041860580444336","8.041860580444336"
"293","7.837242126464844","7.837242126464844","7.837242126464844"
"294","8.148381233215332","8.148381233215332","8.148381233215332"
"295","8.42271900177002","8.42271900177002","8.42271900177002"
"296","7.599607467651367","7.599607467651367","7.599607467651367"
"297","8.165129661560059","8.165129661560059","8.165129661560059"
"298","7.7897844314575195","7.7897844314575195","7.7897844314575195"
"299","7.844588279724121","7.844588279724121","7.844588279724121"
"300","7.747390270233154","7.747390270233154","7.747390270233154"
"301","7.386221885681152","7.386221885681152","7.386221885681152"
"302","8.495271682739258","8.495271682739258","8.495271682739258"
"303","8.542415618896484","8.542415618896484","8.542415618896484"
"304","9.04737663269043","9.04737663269043","9.04737663269043"
"305","7.871955394744873","7.871955394744873","7.871955394744873"
"306","8.67859172821045","8.67859172821045","8.67859172821045"
"307","6.788519859313965","6.788519859313965","6.788519859313965"
"308","7.577746868133545","7.577746868133545","7.577746868133545"
"309","7.723670959472656","7.723670959472656","7.723670959472656"
"310","6.956845760345459","6.956845760345459","6.956845760345459"
"311","7.115260601043701","7.115260601043701","7.115260601043701"
"312","7.502945899963379","7.502945899963379","7.502945899963379"
"313","7.864139556884766","7.864139556884766","7.864139556884766"
"314","8.557741165161133","8.557741165161133","8.557741165161133"
"315","7.8070549964904785","7.8070549964904785","7.8070549964904785"
"316","7.85750675201416","7.85750675201416","7.85750675201416"
"317","8.280024528503418","8.280024528503418","8.280024528503418"
"318","8.32282829284668","8.32282829284668","8.32282829284668"
"319","8.448478698730469","8.448478698730469","8.448478698730469"
"320","9.012207984924316","9.012207984924316","9.012207984924316"
"321","8.834200859069824","8.834200859069824","8.834200859069824"
"322","7.334537506103516","7.334537506103516","7.334537506103516"
"323","8.108959197998047","8.108959197998047","8.108959197998047"
"324","6.990514278411865","6.990514278411865","6.990514278411865"
"325","7.120794296264648","7.120794296264648","7.120794296264648"
"326","7.431175708770752","7.431175708770752","7.431175708770752"
"327","9.483041763305664","9.483041763305664","9.483041763305664"
"328","8.312027931213379","8.312027931213379","8.312027931213379"
"329","7.89724063873291","7.89724063873291","7.89724063873291"
"330","7.4543914794921875","7.4543914794921875","7.4543914794921875"
"331","7.4373393058776855","7.4373393058776855","7.4373393058776855"
"332","7.548672676086426","7.548672676086426","7.548672676086426"
"333","7.5496039390563965","7.5496039390563965","7.5496039390563965"
"334","8.351470947265625","8.351470947265625","8.351470947265625"
"335","8.366072654724121","8.366072654724121","8.366072654724121"
"336","7.414591312408447","7.414591312408447","7.414591312408447"
"337","8.51675796508789","8.51675796508789","8.51675796508789"
"338","7.0626349449157715","7.0626349449157715","7.0626349449157715"
"339","7.360753536224365","7.360753536224365","7.360753536224365"
"340","7.753739833831787","7.753739833831787","7.753739833831787"
"341","9.357465744018555","9.357465744018555","9.357465744018555"
"342","7.0752787590026855","7.0752787590026855","7.0752787590026855"
"343","8.406573295593262","8.406573295593262","8.406573295593262"
"344","7.156052112579346","7.156052112579346","7.156052112579346"
"345","7.930781364440918","7.930781364440918","7.930781364440918"
"346","8.369622230529785","8.369622230529785","8.369622230529785"
"347","8.234569549560547","8.234569549560547","8.234569549560547"
"348","7.730775833129883","7.730775833129883","7.730775833129883"
"349","8.65918254852295","8.65918254852295","8.65918254852295"
"350","7.855224609375","7.855224609375","7.855224609375"
"351","7.1723833084106445","7.1723833084106445","7.1723833084106445"
"352","8.272662162780762","8.272662162780762","8.272662162780762"
"353","8.00810432434082","8.00810432434082","8.00810432434082"
"354","7.161296367645264","7.161296367645264","7.161296367645264"
"355","8.010268211364746","8.010268211364746","8.010268211364746"
"356","7.7893195152282715","7.7893195152282715","7.7893195152282715"
"357","8.244978904724121","8.244978904724121","8.244978904724121"
"358","8.917518615722656","8.917518615722656","8.917518615722656"
"359","8.000387191772461","8.000387191772461","8.000387191772461"
"360","8.740968704223633","8.740968704223633","8.740968704223633"
"361","7.853168487548828","7.853168487548828","7.853168487548828"
"362","7.715461254119873","7.715461254119873","7.715461254119873"
"363","7.778265476226807","7.778265476226807","7.778265476226807"
"364","7.789581298828125","7.789581298828125","7.789581298828125"
"365","8.007803916931152","8.007803916931152","8.007803916931152"
"366","7.25843620300293","7.25843620300293","7.25843620300293"
"367","6.806619167327881","6.806619167327881","6.806619167327881"
"368","7.329787731170654","7.329787731170654","7.329787731170654"
"369","7.463945388793945","7.463945388793945","7.463945388793945"
"370","8.2191801071167","8.2191801071167","8.2191801071167"
"371","7.417931079864502","7.417931079864502","7.417931079864502"
"372","6.858774185180664","6.858774185180664","6.858774185180664"
"373","6.702111721038818","6.702111721038818","6.702111721038818"
"374","7.380209922790527","7.380209922790527","7.380209922790527"
"375","7.552225112915039","7.552225112915039","7.552225112915039"
"376","7.872170925140381","7.872170925140381","7.872170925140381"
"377","8.23834228515625","8.23834228515625","8.23834228515625"
"378","8.8250150680542","8.8250150680542","8.8250150680542"
"379","7.396408557891846","7.396408557891846","7.396408557891846"
"380","7.844128131866455","7.844128131866455","7.844128131866455"
"381","7.85056734085083","7.85056734085083","7.85056734085083"
"382","8.462018966674805","8.462018966674805","8.462018966674805"
"383","8.029017448425293","8.029017448425293","8.029017448425293"
"384","7.6953840255737305","7.6953840255737305","7.6953840255737305"
"385","8.07174015045166","8.07174015045166","8.07174015045166"
"386","8.411243438720703","8.411243438720703","8.411243438720703"
"387","7.983370780944824","7.983370780944824","7.983370780944824"
"388","6.872208118438721","6.872208118438721","6.872208118438721"
"389","7.228177070617676","7.228177070617676","7.228177070617676"
"390","7.9428205490112305","7.9428205490112305","7.9428205490112305"
"391","8.888553619384766","8.888553619384766","8.888553619384766"
"392","6.724984169006348","6.724984169006348","6.724984169006348"
"393","6.888955116271973","6.888955116271973","6.888955116271973"
"394","8.256772994995117","8.256772994995117","8.256772994995117"
"395","8.042400360107422","8.042400360107422","8.042400360107422"
"396","7.805842876434326","7.805842876434326","7.805842876434326"
"397","6.631506443023682","6.631506443023682","6.631506443023682"
"398","8.529749870300293","8.529749870300293","8.529749870300293"
"399","8.516611099243164","8.516611099243164","8.516611099243164"
"400","8.333605766296387","8.333605766296387","8.333605766296387"
"401","8.079537391662598","8.079537391662598","8.079537391662598"
