"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"274","37.05720520019531","37.05720520019531","37.05720520019531"
"275","38.22040557861328","38.22040557861328","38.22040557861328"
"276","37.20542526245117","37.20542526245117","37.20542526245117"
"277","35.88072204589844","35.88072204589844","35.88072204589844"
"278","37.7255744934082","37.7255744934082","37.7255744934082"
"279","37.85477066040039","37.85477066040039","37.85477066040039"
"280","34.222801208496094","34.222801208496094","34.222801208496094"
"281","36.31312561035156","36.31312561035156","36.31312561035156"
"282","37.97974395751953","37.97974395751953","37.97974395751953"
"283","36.68747329711914","36.68747329711914","36.68747329711914"
"284","36.01358413696289","36.01358413696289","36.01358413696289"
"285","37.81032180786133","37.81032180786133","37.81032180786133"
"286","36.46076965332031","36.46076965332031","36.46076965332031"
"287","37.451377868652344","37.451377868652344","37.451377868652344"
"288","36.72479248046875","36.72479248046875","36.72479248046875"
"289","36.4940185546875","36.4940185546875","36.4940185546875"
"290","37.46099090576172","37.46099090576172","37.46099090576172"
"291","37.609291076660156","37.609291076660156","37.609291076660156"
"292","34.82392120361328","34.82392120361328","34.82392120361328"
"293","35.63340759277344","35.63340759277344","35.63340759277344"
"294","39.9057731628418","39.9057731628418","39.9057731628418"
"295","36.10531234741211","36.10531234741211","36.10531234741211"
"296","37.99466323852539","37.99466323852539","37.99466323852539"
"297","35.4675178527832","35.4675178527832","35.4675178527832"
"298","37.72835159301758","37.72835159301758","37.72835159301758"
"299","36.13401794433594","36.13401794433594","36.13401794433594"
"300","37.35342025756836","37.35342025756836","37.35342025756836"
"301","36.107486724853516","36.107486724853516","36.107486724853516"
"302","36.77981948852539","36.77981948852539","36.77981948852539"
"303","36.61851501464844","36.61851501464844","36.61851501464844"
"304","35.19659423828125","35.19659423828125","35.19659423828125"
"305","36.89265823364258","36.89265823364258","36.89265823364258"
"306","37.58759307861328","37.58759307861328","37.58759307861328"
"307","36.24464416503906","36.24464416503906","36.24464416503906"
"308","35.963836669921875","35.963836669921875","35.963836669921875"
"309","37.826171875","37.826171875","37.826171875"
"310","37.409645080566406","37.409645080566406","37.409645080566406"
"311","36.45882797241211","36.45882797241211","36.45882797241211"
"312","35.73383712768555","35.73383712768555","35.73383712768555"
"313","38.1312370300293","38.1312370300293","38.1312370300293"
"314","35.8743896484375","35.8743896484375","35.8743896484375"
"315","36.89942169189453","36.89942169189453","36.89942169189453"
"316","37.421478271484375","37.421478271484375","37.421478271484375"
"317","37.512428283691406","37.512428283691406","37.512428283691406"
"318","36.150516510009766","36.150516510009766","36.150516510009766"
"319","35.58742904663086","35.58742904663086","35.58742904663086"
"320","37.5775032043457","37.5775032043457","37.5775032043457"
"321","36.620994567871094","36.620994567871094","36.620994567871094"
"322","35.93561553955078","35.93561553955078","35.93561553955078"
"323","38.817108154296875","38.817108154296875","38.817108154296875"
"324","38.20450973510742","38.20450973510742","38.20450973510742"
"325","35.872013092041016","35.872013092041016","35.872013092041016"
"326","38.06135559082031","38.06135559082031","38.06135559082031"
"327","36.944374084472656","36.944374084472656","36.944374084472656"
"328","36.81962203979492","36.81962203979492","36.81962203979492"
"329","35.1084098815918","35.1084098815918","35.1084098815918"
"330","38.56212615966797","38.56212615966797","38.56212615966797"
"331","36.11018753051758","36.11018753051758","36.11018753051758"
"332","36.288761138916016","36.288761138916016","36.288761138916016"
"333","37.24937438964844","37.24937438964844","37.24937438964844"
"334","38.9626579284668","38.9626579284668","38.9626579284668"
"335","36.16180419921875","36.16180419921875","36.16180419921875"
"336","36.274906158447266","36.274906158447266","36.274906158447266"
"337","38.2099609375","38.2099609375","38.2099609375"
"338","37.277442932128906","37.277442932128906","37.277442932128906"
"339","37.029109954833984","37.029109954833984","37.029109954833984"
"340","36.59305953979492","36.59305953979492","36.59305953979492"
"341","38.618316650390625","38.618316650390625","38.618316650390625"
"342","38.55472946166992","38.55472946166992","38.55472946166992"
"343","36.96635055541992","36.96635055541992","36.96635055541992"
"344","36.16034698486328","36.16034698486328","36.16034698486328"
"345","38.664512634277344","38.664512634277344","38.664512634277344"
"346","36.493831634521484","36.493831634521484","36.493831634521484"
"347","35.94094467163086","35.94094467163086","35.94094467163086"
"348","36.63035583496094","36.63035583496094","36.63035583496094"
"349","36.9396858215332","36.9396858215332","36.9396858215332"
"350","37.68326187133789","37.68326187133789","37.68326187133789"
"351","36.085655212402344","36.085655212402344","36.085655212402344"
"352","36.476768493652344","36.476768493652344","36.476768493652344"
"353","37.28303909301758","37.28303909301758","37.28303909301758"
"354","38.98108673095703","38.98108673095703","38.98108673095703"
"355","36.581626892089844","36.581626892089844","36.581626892089844"
"356","37.349037170410156","37.349037170410156","37.349037170410156"
"357","37.98278045654297","37.98278045654297","37.98278045654297"
"358","35.64621353149414","35.64621353149414","35.64621353149414"
"359","39.7111701965332","39.7111701965332","39.7111701965332"
"360","36.038570404052734","36.038570404052734","36.038570404052734"
"361","38.0895881652832","38.0895881652832","38.0895881652832"
"362","36.40363693237305","36.40363693237305","36.40363693237305"
"363","35.46836853027344","35.46836853027344","35.46836853027344"
"364","39.072574615478516","39.072574615478516","39.072574615478516"
"365","35.91691589355469","35.91691589355469","35.91691589355469"
"366","36.959381103515625","36.959381103515625","36.959381103515625"
"367","39.19202423095703","39.19202423095703","39.19202423095703"
"368","37.96257781982422","37.96257781982422","37.96257781982422"
"369","39.40021896362305","39.40021896362305","39.40021896362305"
"370","37.84539031982422","37.84539031982422","37.84539031982422"
"371","37.84178924560547","37.84178924560547","37.84178924560547"
"372","35.63780975341797","35.63780975341797","35.63780975341797"
"373","38.18135070800781","38.18135070800781","38.18135070800781"
"374","36.7362060546875","36.7362060546875","36.7362060546875"
"375","37.262516021728516","37.262516021728516","37.262516021728516"
"376","36.22311782836914","36.22311782836914","36.22311782836914"
"377","37.58013916015625","37.58013916015625","37.58013916015625"
"378","38.97278594970703","38.97278594970703","38.97278594970703"
"379","37.53767395019531","37.53767395019531","37.53767395019531"
"380","36.432498931884766","36.432498931884766","36.432498931884766"
