"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"352","2.6870148181915283","2.6870148181915283","2.6870148181915283"
"353","2.642849922180176","2.642849922180176","2.642849922180176"
"354","2.5163168907165527","2.5163168907165527","2.5163168907165527"
"355","2.2945995330810547","2.2945995330810547","2.2945995330810547"
"356","2.472299575805664","2.472299575805664","2.472299575805664"
"357","2.020264148712158","2.020264148712158","2.020264148712158"
"358","2.5282652378082275","2.5282652378082275","2.5282652378082275"
"359","2.622406482696533","2.622406482696533","2.622406482696533"
"360","2.268981456756592","2.268981456756592","2.268981456756592"
"361","2.8962671756744385","2.8962671756744385","2.8962671756744385"
"362","2.0120785236358643","2.0120785236358643","2.0120785236358643"
"363","2.0483105182647705","2.0483105182647705","2.0483105182647705"
"364","2.4684789180755615","2.4684789180755615","2.4684789180755615"
"365","2.113577365875244","2.113577365875244","2.113577365875244"
"366","2.3071353435516357","2.3071353435516357","2.3071353435516357"
"367","2.9169509410858154","2.9169509410858154","2.9169509410858154"
"368","2.4638946056365967","2.4638946056365967","2.4638946056365967"
"369","2.195774793624878","2.195774793624878","2.195774793624878"
"370","2.3612616062164307","2.3612616062164307","2.3612616062164307"
"371","2.4374043941497803","2.4374043941497803","2.4374043941497803"
"372","1.8222357034683228","1.8222357034683228","1.8222357034683228"
"373","2.6243910789489746","2.6243910789489746","2.6243910789489746"
"374","2.3958747386932373","2.3958747386932373","2.3958747386932373"
"375","2.7343220710754395","2.7343220710754395","2.7343220710754395"
"376","2.2977585792541504","2.2977585792541504","2.2977585792541504"
"377","2.5576412677764893","2.5576412677764893","2.5576412677764893"
"378","2.567843198776245","2.567843198776245","2.567843198776245"
"379","2.164031505584717","2.164031505584717","2.164031505584717"
"380","2.5188310146331787","2.5188310146331787","2.5188310146331787"
"381","2.1480677127838135","2.1480677127838135","2.1480677127838135"
"382","2.1390490531921387","2.1390490531921387","2.1390490531921387"
"383","2.3892314434051514","2.3892314434051514","2.3892314434051514"
"384","2.014003276824951","2.014003276824951","2.014003276824951"
"385","2.4088456630706787","2.4088456630706787","2.4088456630706787"
"386","2.525125741958618","2.525125741958618","2.525125741958618"
"387","2.394231081008911","2.394231081008911","2.394231081008911"
"388","2.127300262451172","2.127300262451172","2.127300262451172"
"389","2.7768964767456055","2.7768964767456055","2.7768964767456055"
"390","2.2681379318237305","2.2681379318237305","2.2681379318237305"
"391","2.7713918685913086","2.7713918685913086","2.7713918685913086"
"392","1.952593445777893","1.952593445777893","1.952593445777893"
"393","2.475051164627075","2.475051164627075","2.475051164627075"
"394","1.7660901546478271","1.7660901546478271","1.7660901546478271"
"395","2.2532432079315186","2.2532432079315186","2.2532432079315186"
